#,Question,Asker Initials,Answer,Question Time,Answerer Initials
1,yeah we can see you :),M.K.,,02/24/2026 08:50:10 AM,--
2,chat is disabled,M.K.,"Please use the Q&A button to ask questions! As Maxim mentioned, they will be copied over to the Github Discussion forum after the meeting, https://github.com/pulseq/ISMRM-Virtual-Meeting--February-24-26-2026/discussions.",02/24/2026 08:50:26 AM,J.N.
3,Could you please share the link to the github repo for this workshop?,D.S.,https://github.com/pulseq/ISMRM-Virtual-Meeting--February-24-26-2026,02/24/2026 09:04:44 AM,J.N.
4,"is matlab version (e.g. 2014a,...,2024a) important? which toolboxes should be included?",O.P.,the pulseq matlab software should be added into matlab’s path: https://github.com/pulseq/pulseq,02/24/2026 09:20:00 AM,Q.C.
4,"is matlab version (e.g. 2014a,...,2024a) important? which toolboxes should be included?",O.P.,the matlab version should not be very important for pulseq programming.,02/24/2026 09:20:00 AM,Q.C.
5,Is there any advantage to using PyPulseq over the Matlab version?,M.S.,"there are other tools compatible with PyPulseq, such as MRzero. Check the open-source software with Pulseq support form here: https://pulseq.github.io/links.html
And if you are a Python person, Pypulseq is a better choice.",02/24/2026 09:20:57 AM,Q.C.
6,does the Siemens interpreter allow for FOV scaling?,J.T.,yes,02/24/2026 09:25:09 AM,Q.C.
7,Does pulseq automatically apply gradient pre-emphasis or does the user need to define pre-emphasis?,T.H.,"Yes -- in the end (hardware), a Pulseq sequence is just like any other pulse sequence and is subject to the same preemphasis.",02/24/2026 09:28:59 AM,J.N.
8,Is EGG gating implemented for cardiac MRI sequences? How does it work? Is the triggering adaptive in case of heartrate variability throughout the scan?,A.A.,"Yes, with previous versions of pulseq the delay was fixed and the *.seq file had to be chosen according with subject RR. With soft delay this may be easier, although I did not test this yet.",02/24/2026 09:29:10 AM,A.G.
9,"Is it possible to feed Pulseq sequences into a simulator for MR spectroscopy, such as VESPA or FID-A?",R.M.,"Not that I know of, but this is a great opportunity for volunteering ;-)",02/24/2026 09:30:35 AM,M.Z.
